city,state,zip,price,sqft,bedrooms,bathrooms
Los Angeles,CA,90003,479900,2460.0,0,NA
Los Angeles,CA,90003,424900,1728.0,0,NA
Los Angeles,CA,90003,774000,2928.0,0,NA
Los Angeles,CA,90003,550000,1306.0,0,NA
Los Angeles,CA,90003,560000,2021.0,2.0,2.0
Los Angeles,CA,90003,510000,2020.0,0,NA
Los Angeles,CA,90003,575000,NA,NA,NA
Los Angeles,CA,90003,399900,1192.0,0,NA
Los Angeles,CA,90003,415000,1392.0,3.0,2.0
Los Angeles,CA,90003,599000,2931.0,6.0,4.0
Los Angeles,CA,90003,419999,1392.0,0,NA
Los Angeles,CA,90003,320000,1076.0,3.0,1.0
Los Angeles,CA,90003,599000,NA,0,NA
Los Angeles,CA,90003,490000,2.0,0,NA
Los Angeles,CA,90003,565000,3070.0,0,NA
Los Angeles,CA,90003,499000,1614.0,0,NA
Los Angeles,CA,90003,785000,3228.0,0,NA
Los Angeles,CA,90003,490000,1632.0,0,NA
Los Angeles,CA,90003,925000,3456.0,0,NA
Los Angeles,CA,90003,635000,2120.0,4.0,3.0
Los Angeles,CA,90003,525000,2616.0,0,NA
Los Angeles,CA,90003,599000,2386.0,0,NA
Los Angeles,CA,90003,750000,1460.0,0,NA
Los Angeles,CA,90003,NA,1535.0,3.0,2.0
Los Angeles,CA,90003,NA,1229.0,3.0,2.0
Los Angeles,CA,90003,NA,1212.0,4.0,3.0
Los Angeles,CA,90003,NA,1296.0,4.0,2.0
Los Angeles,CA,90003,NA,964.0,2.0,1.0
Los Angeles,CA,90003,NA,1760.0,4.0,4.0
Los Angeles,CA,90003,NA,956.0,2.0,1.0
Los Angeles,CA,90003,NA,1008.0,2.0,1.0
Los Angeles,CA,90003,NA,917.0,2.0,1.0
Los Angeles,CA,90003,NA,1303.0,2.0,1.0
Los Angeles,CA,90003,NA,1312.0,3.0,2.0
LOS ANGELES,CA,90003,NA,1999.0,8.0,3.0
Los Angeles,CA,90003,NA,2652.0,4.0,4.0
Los Angeles,CA,90003,NA,1452.0,3.0,2.0
Los Angeles,CA,90003,365000,960.0,3.0,1.0
Los Angeles,CA,90003,NA,710.0,2.0,1.0
Los Angeles,CA,90003,NA,1430.0,3.0,2.0
Los Angeles,CA,90003,NA,1152.0,4.0,2.0
Los Angeles,CA,90003,NA,710.0,2.0,1.0
Los Angeles,CA,90003,NA,989.0,2.0,1.0
Los Angeles,CA,90003,NA,1382.0,2.0,2.0
Los Angeles,CA,90003,NA,1846.0,4.0,3.0
Los Angeles,CA,90003,NA,814.0,2.0,1.0
Los Angeles,CA,90003,NA,1424.0,4.0,1.0
Los Angeles,CA,90003,NA,1248.0,3.0,2.0
Los Angeles,CA,90003,NA,754.0,2.0,1.0
Los Angeles,CA,90003,NA,1227.0,2.0,2.0
Los Angeles,CA,90003,NA,994.0,3.0,2.0
Los Angeles,CA,90003,NA,946.0,2.0,1.0
Los Angeles,CA,90003,NA,1080.0,2.0,1.0
Los Angeles,CA,90003,NA,1095.0,3.0,2.0
Los Angeles,CA,90003,NA,3616.0,10.0,6.0
Los Angeles,CA,90003,NA,3753.0,6.0,3.0
Los Angeles,CA,90003,NA,952.0,3.0,1.0
Los Angeles,CA,90003,NA,2597.0,6.0,4.0
Los Angeles,CA,90003,NA,1736.0,4.0,3.0
Los Angeles,CA,90003,NA,1452.0,3.0,3.0
Los Angeles,CA,90003,NA,1938.0,4.0,3.0
Los Angeles,CA,90003,NA,1092.0,2.0,1.0
Los Angeles,CA,90003,NA,1120.0,2.0,2.0
Los Angeles,CA,90003,NA,1536.0,2.0,2.0
Los Angeles,CA,90003,NA,1213.0,2.0,1.0
Los Angeles,CA,90003,NA,3668.0,6.0,4.0
Los Angeles,CA,90003,NA,1080.0,3.0,1.0
Los Angeles,CA,90003,NA,1446.0,4.0,2.0
Los Angeles,CA,90003,NA,888.0,2.0,1.0
Los Angeles,CA,90003,NA,2700.0,8.0,4.0
Los Angeles,CA,90003,NA,1004.0,3.0,2.0
Los Angeles,CA,90003,NA,1568.0,4.0,2.0
Los Angeles,CA,90003,NA,2230.0,5.0,4.0
Los Angeles,CA,90003,NA,1589.0,3.0,2.0
Los Angeles,CA,90003,NA,1229.0,2.0,1.0
Los Angeles,CA,90003,NA,1240.0,2.0,1.0
Los Angeles,CA,90003,NA,816.0,2.0,1.0
Los Angeles,CA,90003,NA,1570.0,3.0,2.0
Los Angeles,CA,90004,1450000,1418.0,2.0,2.0
Los Angeles,CA,90004,1300000,1984.0,5.0,3.0
Los Angeles,CA,90004,825000,1019.0,3.0,2.0
Los Angeles,CA,90004,1799000,1930.0,3.0,2.0
