price,sqft,bedrooms,bathrooms
799000.0,1467.0,3.0,2.0
670000.0,1300.0,3.0,2.0
509000.0,1008.0,2.0,1.0
849000.0,1510.0,3.0,2.0
899000.0,1972.0,4.0,4.0
1218000.0,1583.0,4.0,2.0
849000.0,1412.0,3.0,2.0
1100000.0,2140.0,3.0,2.0
629900.0,943.0,2.0,1.0
875000.0,1700.0,3.0,3.0
1149000.0,2651.0,4.0,3.0
799900.0,1380.0,3.0,2.0
999000.0,1981.0,3.0,3.0
798888.0,1400.0,3.0,2.0
817000.0,2760.0,6.0,4.0
739990.0,1160.0,3.0,1.0
799000.0,1181.0,2.0,2.0
929000.0,1835.0,3.0,3.0
645600.0,1610.0,2.0,2.0
530000.0,1583.0,3.0,2.0
500000.0,775.0,2.0,1.0
529000.0,1251.0,3.0,1.0
325000.0,832.0,1.0,1.0
750000.0,1552.0,3.0,2.0
579000.0,1179.0,3.0,2.0
465000.0,826.0,2.0,1.0
765000.0,1428.0,3.0,2.0
729000.0,1599.0,4.0,3.0
745000.0,1154.0,2.0,2.0
750000.0,1008.0,3.0,3.0
700000.0,924.0,2.0,1.0
849000.0,2275.0,5.0,3.0
749900.0,1321.0,3.0,2.0
699000.0,2263.0,6.0,3.0
950000.0,2650.0,4.0,2.0
595000.0,1172.0,2.0,1.0
710000.0,1462.0,3.0,2.0
1250000.0,1794.0,3.0,3.0
999000.0,2629.0,5.0,4.0
659900.0,2459.0,5.0,4.0
890000.0,3062.0,4.0,2.0
1145000.0,2776.0,5.0,4.0
999000.0,3028.0,5.0,4.0
575000.0,1096.0,3.0,1.0
654000.0,910.0,2.0,1.0
559000.0,750.0,1.0,1.0
530000.0,750.0,1.0,1.0
499500.0,600.0,1.0,1.0
1250000.0,1600.0,2.0,2.0
888000.0,1320.0,2.0,2.0
1500000.0,1600.0,2.0,2.0
995000.0,950.0,1.0,2.0
550000.0,2646.0,6.0,2.0
905000.0,903.0,1.0,2.0
540000.0,747.0,1.0,1.0
1749000.0,2304.0,3.0,3.0
895000.0,1232.0,2.0,2.0
849000.0,1075.0,2.0,2.0
1399000.0,1365.0,2.0,2.0
950000.0,1340.0,2.0,2.0
1174380.0,977.0,1.0,1.0
859000.0,1320.0,2.0,2.0
649000.0,1140.0,2.0,2.0
1175000.0,1580.0,2.0,2.0
925000.0,1480.0,2.0,2.0
674000.0,1140.0,2.0,2.0
559000.0,960.0,1.0,1.0
899000.0,1443.0,2.0,2.0
799000.0,1470.0,3.0,3.0
775000.0,1180.0,2.0,2.0
640000.0,1203.0,2.0,1.0
537000.0,1586.0,2.0,2.0
774990.0,1540.0,3.0,2.0
475000.0,1092.0,4.0,2.0
580500.0,1518.0,3.0,2.0
729000.0,2544.0,4.0,4.0
769000.0,2484.0,6.0,3.0
525000.0,901.0,2.0,1.0
332800.0,672.0,1.0,1.0
799000.0,1356.0,3.0,2.0
899000.0,2136.0,2.0,2.0
635000.0,1165.0,2.0,1.0
684000.0,1448.0,3.0,2.0
690000.0,1961.0,3.0,1.0
599999.0,857.0,3.0,1.0
585000.0,1584.0,2.0,1.0
535000.0,1359.0,3.0,2.0
460000.0,988.0,1.0,1.0
675000.0,2648.0,3.0,2.0
636000.0,2418.0,4.0,3.0
440000.0,872.0,2.0,2.0
575000.0,1664.0,4.0,2.0
799000.0,1488.0,4.0,2.0
799000.0,1950.0,4.0,2.0
756000.0,2361.0,2.0,2.0
1199000.0,3494.0,5.0,4.0
620000.0,840.0,2.0,1.0
1375000.0,5941.0,7.0,6.0
895000.0,3400.0,7.0,3.0
518000.0,1285.0,2.0,2.0
649000.0,1764.0,3.0,1.0
769000.0,1532.0,5.0,3.0
750000.0,2169.0,4.0,2.0
529000.0,1290.0,3.0,2.0
732000.0,1451.0,3.0,2.0
1149000.0,2984.0,4.0,4.0
1490000.0,3800.0,6.0,6.0
772000.0,2392.0,4.0,3.0
1149000.0,2800.0,4.0,4.0
2995000.0,4480.0,5.0,5.0
1149000.0,1936.0,3.0,3.0
1499000.0,1944.0,3.0,3.0
2500000.0,4277.0,5.0,4.0
1395000.0,2450.0,4.0,3.0
1449900.0,2510.0,4.0,2.0
999000.0,1768.0,2.0,2.0
1399900.0,1818.0,3.0,1.0
539900.0,1120.0,3.0,2.0
679000.0,1355.0,2.0,2.0
825000.0,1851.0,5.0,3.0
1300000.0,1422.0,2.0,2.0
1199999.0,1408.0,3.0,2.0
1355000.0,3459.0,7.0,4.0
1190000.0,1922.0,3.0,2.0
1135000.0,1988.0,3.0,3.0
1300000.0,3300.0,6.0,6.0
1495000.0,2225.0,2.0,1.0
649000.0,1360.0,2.0,2.0
839000.0,1590.0,3.0,3.0
919000.0,1850.0,2.0,3.0
929000.0,1730.0,3.0,3.0
850000.0,1280.0,2.0,2.0
1299000.0,2137.0,2.0,2.0
1100000.0,2629.0,7.0,3.0
799000.0,2260.0,4.0,4.0
1270000.0,3296.0,6.0,3.0
649900.0,1064.0,3.0,2.0
995000.0,1800.0,4.0,2.0
955000.0,2130.0,4.0,2.0
888000.0,1728.0,3.0,2.0
1055000.0,1462.0,2.0,2.0
575000.0,1270.0,2.0,2.0
1200000.0,1152.0,3.0,2.0
1200000.0,1491.0,3.0,2.0
1069000.0,3196.0,5.0,3.0
1245000.0,1726.0,3.0,2.0
1229900.0,1741.0,4.0,2.0
1090000.0,1737.0,3.0,2.0
1050000.0,4230.0,4.0,4.0
1695000.0,4220.0,6.0,4.0
1299000.0,2620.0,4.0,3.5
1275998.0,3547.0,7.0,4.0
1250000.0,3871.0,7.0,5.0
1290000.0,2860.0,5.0,3.0
1049000.0,2299.0,4.0,3.0
1390000.0,4950.0,6.0,4.0
2380000.0,4173.0,5.0,4.0
1390000.0,2782.0,4.0,4.0
1345000.0,2829.0,6.0,4.0
979000.0,2421.0,4.0,3.0
1980000.0,4806.0,6.0,5.0
2100000.0,4181.0,5.0,5.0
450000.0,990.0,2.0,2.0
899000.0,1874.0,2.0,3.0
2095000.0,3467.0,4.0,4.0
4170000.0,4700.0,4.0,5.0
4495000.0,4688.0,4.0,5.0
360000.0,560.0,1.0,1.0
695000.0,1290.0,2.0,2.0
350000.0,580.0,1.0,1.0
3250000.0,4169.0,4.0,4.0
497000.0,917.0,2.0,2.0
789500.0,1391.0,3.0,2.0
699000.0,1494.0,3.0,4.0
689900.0,1042.0,2.0,2.0
920000.0,1960.0,3.0,3.0
699000.0,1530.0,3.0,3.0
2200000.0,4590.0,4.0,5.0
715000.0,1300.0,2.0,2.0
743150.0,1411.0,3.0,2.0
843500.0,1376.0,3.0,2.0
883350.0,1391.0,3.0,2.0
777500.0,1411.0,3.0,2.0
2150000.0,1900.0,1.0,3.0
1285000.0,1464.0,1.0,1.0
1775000.0,1875.0,1.0,2.0
1375000.0,1235.0,2.0,1.0
654000.0,910.0,2.0,1.0
500000.0,1040.0,0.0,1.0
559000.0,750.0,1.0,1.0
530000.0,750.0,1.0,1.0
608000.0,870.0,1.0,1.0
1250000.0,1120.0,1.0,2.0
759000.0,1240.0,2.0,2.0
525000.0,1425.0,3.0,3.0
530000.0,1512.0,3.0,2.0
359000.0,627.0,2.0,1.0
395000.0,919.0,3.0,1.0
339900.0,768.0,2.0,1.0
485000.0,1181.0,3.0,2.0
465888.0,1183.0,3.0,2.0
399000.0,1011.0,3.0,1.0
389900.0,1098.0,3.0,2.0
383000.0,924.0,3.0,1.0
504000.0,2074.0,6.0,3.0
625000.0,2366.0,4.0,4.0
555000.0,1918.0,5.0,3.0
505000.0,2070.0,3.0,3.0
449000.0,1132.0,2.0,1.0
487000.0,1320.0,3.0,2.0
450000.0,1097.0,2.0,1.0
397000.0,1140.0,2.0,2.0
424950.0,1202.0,2.0,1.0
485000.0,1428.0,4.0,2.0
500000.0,589.0,2.0,1.0
